120 96  15
142 99  14
172 89  11
111 89  15
139 100  15
168 84  13
119 95  15
141 113  15
170 93  15
120 96  15
127 102  15
142 93  15
113 91  15
120 96  15
149 96  14
113 91  15
147 118  15
176 104  14
98 78  15
98 78  15
135 92  15
164 116  14
113 91  15
149 90  14
105 84  15
142 88  14
105 84  15
142 82  14
142 80  15
127 102  15
127 102  15
164 92  15
164 90  14
135 108  15
157 126  15
186 102  15
121 97  15
143 114  15
173 93  15
157 126  15
194 106  15
110 88  15
110 88  15
161 92  15
161 91  12
223 179  15
260 173  15
113 91  15
164 101  15
120 96  15
142 100  14
164 88  15
105 84  15
142 92  15
142 114  15
157 93  15
68 55  15
68 55  15
105 79  15
105 62  8
113 91  15
113 91  15
127 102  15
149 105  15
149 99  15
127 102  15
172 94  14
113 91  15
149 85  14
135 108  15
142 114  15
186 91  15
194 94  14
113 91  15
149 118  15
186 100  15
90 72  15
113 67  13
135 61  0
157 126  15
172 105  14
186 91  15
127 102  15
149 115  15
172 94  14
113 91  15
172 94  15
113 91  15
113 91  15
135 84  15
135 84  15
172 86  15
172 86  15
127 87  14
127 87  14
149 82  15
149 82  15
186 149  15
186 149  15
194 104  15
194 106  15
90 71  13
127 67  13
131 105  15
131 91  14
105 84  15
142 80  15
149 120  15
186 114  15
172 138  15
172 138  15
208 107  15
208 107  15
98 78  15
127 67  12
98 78  15
120 73  14
142 70  13
105 84  15
142 114  15
178 107  13
98 70  10
135 64  3
113 91  15
113 91  15
142 84  15
142 83  15
142 114  15
194 94  14
194 94  14
127 102  15
142 93  14
142 93  14
127 66  10
127 69  7
186 149  15
113 91  15
149 85  14
149 85  14
172 125  15
208 98  14
421 338  15
149 85  15
208 112  15
98 78  15
135 79  14
120 96  15
172 100  14
98 78  15
142 75  11
113 60  4
127 74  13
157 81  11
149 80  15
149 83  14
149 82  15
149 74  14
164 86  15
164 84  15
164 84  15
164 84  15
84 67  15
194 89  15
245 131  14
135 108  15
245 119  14
149 75  15
149 72  13
149 103  15
105 78  9
157 78  10
98 78  15
142 73  10
172 88  15
289 141  15
186 91  15
186 83  15
186 84  12
186 84  12
186 86  15
186 90  12
114 91  15
143 95  15
188 80  14
192 79  15
192 92  12
201 95  13
120 96  15
142 114  15
172 96  15
111 89  15
139 100  15
168 84  13
161 79  12
127 102  15
149 103  15
178 91  13
105 84  15
178 122  15
142 114  15
201 122  15
113 91  15
135 108  15
113 91  15
157 105  15
178 93  12
164 132  15
237 143  15
84 67  15
127 102  15
186 149  15
105 84  15
135 94  14
113 91  15
149 87  15
135 108  15
157 122  15
186 95  14
164 93  14
157 126  15
201 153  15
157 91  11
186 102  14
105 84  15
135 108  15
164 121  15
135 108  15
98 78  15
164 96  15
149 118  15
135 108  15
135 108  15
194 119  15
149 71  15
194 115  15
142 114  14
194 104  15
194 101  13
142 87  15
125 100  15
333 267  15
157 93  12
127 102  15
164 94  15
201 148  15
149 96  12
164 92  15
142 114  15
186 102  15
149 90  14
149 87  15
157 76  15
84 67  15
172 84  15
135 79  14
135 79  14
142 114  14
186 93  15
